 [INFO] 2017-02-22 09:43:32,936 org.springframework.beans.factory.config.PropertiesFactoryBean     - Loading properties file from class path resource [mysql.properties]
 [INFO] 2017-02-22 09:43:33,014 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/update.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.update(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,014 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/check.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.check(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException,java.io.IOException
 [INFO] 2017-02-22 09:43:33,014 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/create.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.create(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException,javax.servlet.ServletException
 [INFO] 2017-02-22 09:43:33,014 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/jsConfig.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<com.linjuli.model.weixin.pojo.JsConfig> com.linjuli.web.JsConfigController.getJsConfig(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,014 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/updateMenu.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.MenuController.updateMenu()
 [INFO] 2017-02-22 09:43:33,014 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/tel/checkTel.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<java.lang.Object> com.linjuli.web.TelController.checkTel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,014 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/tel/sendTel.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult com.linjuli.web.TelController.sendTel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,014 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/test.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<java.lang.String[]> com.linjuli.web.TestController.getImageSrc(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,014 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/user/create.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<com.linjuli.model.web.User> com.linjuli.web.UserController.createUser(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
 [INFO] 2017-02-22 09:43:33,014 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/weixin.do],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.linjuli.web.WeixinController.weixinReqCheck(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.UnsupportedEncodingException
 [INFO] 2017-02-22 09:43:33,014 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/weixin.do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.WeixinController.weixinMessage(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
 [INFO] 2017-02-22 09:43:33,030 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter     - Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@2e11485: startup date [Wed Feb 22 09:43:32 CST 2017]; root of context hierarchy
 [INFO] 2017-02-22 09:43:33,046 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter     - Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@2e11485: startup date [Wed Feb 22 09:43:32 CST 2017]; root of context hierarchy
 [INFO] 2017-02-22 09:43:33,061 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/update.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.update(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,061 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/check.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.check(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException,java.io.IOException
 [INFO] 2017-02-22 09:43:33,061 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/create.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.create(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException,javax.servlet.ServletException
 [INFO] 2017-02-22 09:43:33,061 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/jsConfig.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<com.linjuli.model.weixin.pojo.JsConfig> com.linjuli.web.JsConfigController.getJsConfig(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,061 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/updateMenu.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.MenuController.updateMenu()
 [INFO] 2017-02-22 09:43:33,061 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/tel/checkTel.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<java.lang.Object> com.linjuli.web.TelController.checkTel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,061 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/tel/sendTel.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult com.linjuli.web.TelController.sendTel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,061 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/test.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<java.lang.String[]> com.linjuli.web.TestController.getImageSrc(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,061 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/user/create.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<com.linjuli.model.web.User> com.linjuli.web.UserController.createUser(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
 [INFO] 2017-02-22 09:43:33,061 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/weixin.do],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.linjuli.web.WeixinController.weixinReqCheck(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.UnsupportedEncodingException
 [INFO] 2017-02-22 09:43:33,061 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/weixin.do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.WeixinController.weixinMessage(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
 [INFO] 2017-02-22 09:43:33,077 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter     - Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@2e11485: startup date [Wed Feb 22 09:43:32 CST 2017]; root of context hierarchy
 [INFO] 2017-02-22 09:43:33,092 org.springframework.context.support.ClassPathXmlApplicationContext     - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@7c56e013: startup date [Wed Feb 22 09:43:33 CST 2017]; root of context hierarchy
 [INFO] 2017-02-22 09:43:33,092 org.springframework.beans.factory.xml.XmlBeanDefinitionReader     - Loading XML bean definitions from class path resource [spring-mybatis.xml]
 [INFO] 2017-02-22 09:43:33,108 org.springframework.beans.factory.xml.XmlBeanDefinitionReader     - Loading XML bean definitions from class path resource [spring-service.xml]
 [INFO] 2017-02-22 09:43:33,139 org.springframework.beans.factory.xml.XmlBeanDefinitionReader     - Loading XML bean definitions from class path resource [spring-web.xml]
 [INFO] 2017-02-22 09:43:33,171 org.springframework.beans.factory.support.DefaultListableBeanFactory     - Overriding bean definition for bean 'mvcContentNegotiationManager': replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 [INFO] 2017-02-22 09:43:33,171 org.springframework.beans.factory.support.DefaultListableBeanFactory     - Overriding bean definition for bean 'mvcUriComponentsContributor': replacing [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 [INFO] 2017-02-22 09:43:33,186 org.springframework.beans.factory.config.PropertiesFactoryBean     - Loading properties file from class path resource [mysql.properties]
 [INFO] 2017-02-22 09:43:33,249 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/update.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.update(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,249 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/check.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.check(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException,java.io.IOException
 [INFO] 2017-02-22 09:43:33,249 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/create.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.create(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException,javax.servlet.ServletException
 [INFO] 2017-02-22 09:43:33,249 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/jsConfig.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<com.linjuli.model.weixin.pojo.JsConfig> com.linjuli.web.JsConfigController.getJsConfig(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,249 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/updateMenu.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.MenuController.updateMenu()
 [INFO] 2017-02-22 09:43:33,249 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/tel/checkTel.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<java.lang.Object> com.linjuli.web.TelController.checkTel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,249 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/tel/sendTel.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult com.linjuli.web.TelController.sendTel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,249 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/test.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<java.lang.String[]> com.linjuli.web.TestController.getImageSrc(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,249 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/user/create.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<com.linjuli.model.web.User> com.linjuli.web.UserController.createUser(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
 [INFO] 2017-02-22 09:43:33,249 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/weixin.do],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.linjuli.web.WeixinController.weixinReqCheck(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.UnsupportedEncodingException
 [INFO] 2017-02-22 09:43:33,249 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/weixin.do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.WeixinController.weixinMessage(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
 [INFO] 2017-02-22 09:43:33,264 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter     - Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@7c56e013: startup date [Wed Feb 22 09:43:33 CST 2017]; root of context hierarchy
 [INFO] 2017-02-22 09:43:33,296 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter     - Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@7c56e013: startup date [Wed Feb 22 09:43:33 CST 2017]; root of context hierarchy
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/update.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.update(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/check.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.check(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException,java.io.IOException
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/create.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.create(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException,javax.servlet.ServletException
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/jsConfig.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<com.linjuli.model.weixin.pojo.JsConfig> com.linjuli.web.JsConfigController.getJsConfig(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/updateMenu.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.MenuController.updateMenu()
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/tel/checkTel.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<java.lang.Object> com.linjuli.web.TelController.checkTel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/tel/sendTel.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult com.linjuli.web.TelController.sendTel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/test.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<java.lang.String[]> com.linjuli.web.TestController.getImageSrc(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/user/create.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<com.linjuli.model.web.User> com.linjuli.web.UserController.createUser(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/weixin.do],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.linjuli.web.WeixinController.weixinReqCheck(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.UnsupportedEncodingException
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/weixin.do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.WeixinController.weixinMessage(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
 [INFO] 2017-02-22 09:43:33,327 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter     - Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@7c56e013: startup date [Wed Feb 22 09:43:33 CST 2017]; root of context hierarchy
 [INFO] 2017-02-22 09:43:33,342 org.springframework.context.support.ClassPathXmlApplicationContext     - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@5f4d427e: startup date [Wed Feb 22 09:43:33 CST 2017]; root of context hierarchy
 [INFO] 2017-02-22 09:43:33,342 org.springframework.beans.factory.xml.XmlBeanDefinitionReader     - Loading XML bean definitions from class path resource [spring-mybatis.xml]
 [INFO] 2017-02-22 09:43:33,358 org.springframework.beans.factory.xml.XmlBeanDefinitionReader     - Loading XML bean definitions from class path resource [spring-service.xml]
 [INFO] 2017-02-22 09:43:33,389 org.springframework.beans.factory.xml.XmlBeanDefinitionReader     - Loading XML bean definitions from class path resource [spring-web.xml]
 [INFO] 2017-02-22 09:43:33,421 org.springframework.beans.factory.support.DefaultListableBeanFactory     - Overriding bean definition for bean 'mvcContentNegotiationManager': replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 [INFO] 2017-02-22 09:43:33,421 org.springframework.beans.factory.support.DefaultListableBeanFactory     - Overriding bean definition for bean 'mvcUriComponentsContributor': replacing [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 [INFO] 2017-02-22 09:43:33,436 org.springframework.beans.factory.config.PropertiesFactoryBean     - Loading properties file from class path resource [mysql.properties]
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/update.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.update(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/check.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.check(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException,java.io.IOException
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/create.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.create(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException,javax.servlet.ServletException
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/jsConfig.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<com.linjuli.model.weixin.pojo.JsConfig> com.linjuli.web.JsConfigController.getJsConfig(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/updateMenu.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.MenuController.updateMenu()
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/tel/checkTel.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<java.lang.Object> com.linjuli.web.TelController.checkTel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/tel/sendTel.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult com.linjuli.web.TelController.sendTel(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/test.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<java.lang.String[]> com.linjuli.web.TestController.getImageSrc(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/user/create.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.linjuli.util.JsonResult<com.linjuli.model.web.User> com.linjuli.web.UserController.createUser(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/weixin.do],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.linjuli.web.WeixinController.weixinReqCheck(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.UnsupportedEncodingException
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/weixin.do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.WeixinController.weixinMessage(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
 [INFO] 2017-02-22 09:43:33,514 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter     - Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@5f4d427e: startup date [Wed Feb 22 09:43:33 CST 2017]; root of context hierarchy
 [INFO] 2017-02-22 09:43:33,530 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter     - Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@5f4d427e: startup date [Wed Feb 22 09:43:33 CST 2017]; root of context hierarchy
 [INFO] 2017-02-22 09:43:33,546 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/update.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.update(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
 [INFO] 2017-02-22 09:43:33,546 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping     - Mapped "{[/baoxiu/check.do],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.linjuli.web.BaoxiuController.check(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException,java.io.IOException
